jobcode	jobtitle
103170	directeur(-trice) - arrondissement
711840	agent(e) de distribution-equipements municipaux
720980	analyste en droit - contentieux
763810	aide-bibliothecaire
706510	agent(e) de liaison - organismes culturels, sportifs et de developpement social
700840	assistant(e)-intervention loisirs
720970	responsable technique - production
345510	agent(e) de gestion des ressources financieres
712720	agent(e) - verification des donnees policieres
763010	prepose(e) a l animation
209840	chef(fe) de division - relations avec les citoyens et communications (arrondissement)
220640	chef(fe) de section - conseil et soutien financiers
345240	agent(e) de gestion des ressources financieres   materielles
713320	prepose(e) a l approvisionnement - cum
755420	coordonnateur(-trice) d activites en loisirs scientifiques
211470	conseiller(-ere) principal(e) (specialite)
218650	chef(fe) de section - marquage sur la chaussee et signalisation ecrite
218980	planificateur(-trice)-entretien eau
611490	electricien(ne) industriel(le)
782330	agent(e) technique en charpente   structure
216380	chef(fe) de section - usine atwater et installations connexes
401550	chargé(e) d expertise et de pratique - conseil
400040	notaire
215350	chef(fe) de section - prevention incendie
722000	coordonnateur(-trice) centre communication avec clientele
706870	instructeur(-trice) de tennis - cours de groupe - anjou
607910	palefrenier(-iere)
601830	frigoriste - tuyauteur(-euse)
400580	conseiller(-ere) à l ombudsman
219300	c/s centre d histoire de montreal
715020	enqueteur(-teuse) - pierrefonds
607840	mecanicien(ne) de machines fixes - 1ere classe
223740	chef(fe) de section - planification et grands projets
103670	directeur(-trice) - production de l  eau potable
210920	chef(fe) de division - ingenierie et infrastructures (arr. pierreonds/roxboro)
601320	tuyauteur(-euse)
792410	prepose(e) au controle des dossiers
400810	profil - 400790 - securite
217880	c/m entretien - voirie et parc
704570	assistant(e) surveillant(e) sauveteur(-euse) 2 sac - ete - verdun
900300	etudiant(e) programme gouvernemental - universitaire
210050	chef(fe) de division - planification urbaine
220240	chef(fe) de section - recherche de talents et dotation
306210	conseiller(-ere) aux affaires internationales
106670	directeur(-trice) - securite de l information
106590	directeur(-trice) arrondissement adjoint(e)-qualité de vie
216100	chef(fe) de section - prelevements
105460	directeur des affaires institutionnelles
