1001	conseiller(-ère)	advisor
100270	prmo - contremaitre(-esse)	pre-service foreman
101400	chef(fe) de section - ingénierie (lasalle)	section head - engineering (Lasalle)
102160	chef(fe) de division - affaires policieres (saj)	head of division - police affairs (saj)
102170	chef(fe) de division commerciale - evaluation fonciere	head of commercial division - land valuation
102250	directeur(-trice) - evaluation fonciere et evaluateur(-trice) de la ville	director - land valuation and city assessor
102770	c/d informatique (arr.<60000)	c/d computer science (arr.<60000)
103060	directeur(-trice) de service - police	service director - police
103070	directeur(-trice) de service - securite incendie	service manager - fire safety
103130	directeur general associe - concertation avec arr.          rondissements	Associate General Manager - consultation with district councils
103170	directeur(-trice) - arrondissement	director - district
103360	directeur(-trice) de service-greffe et greffier(-iere)	director of registry service and clerk
103380	directeur(-trice) - arrondissement (ii)	director - district (ii)
103400	directeur(-trice) de service - experience citoyenne et communication	service director - citizen experience and communication
103430	directeur(-trice) de service - approvisionnement	service manager - procurement
103440	directeur(-trice) de service - materiel roulant et ateliers	service manager - rolling stock and workshops
103490	directeur(-trice) - travaux publics en arrondissement	director - public works in the district
103500	directeur(-trice) - services administratifs (arr.)	Director - Administrative Services (district)
103510	directeur(-trice)-cult. sp. lois. dev.soc. arrondissements	director-cult. sp. laws. dev.soc. districts
103520	directeur(trice) - trav. pub. en arr. (arr. - 60 000)	director - pub. work in arr. (arr. - 60,000)
103530	directeur(-trice)-amenag.urbain et serv. entreprises (arr.)	director of urban planning and business services (district)
103550	directeur(-trice) - bureau d arrondissement	director - district office
103560	directeur(trice) - cult.,sp., lois. dev. soc. (< 60 000)	director - cult., sp., laws. dev. soc. (< 60,000)
103630	directeur(trice)- diversité sociale	director - social diversity
103660	directeur(-trice)  - traitement des eaux usees	director - wastewater treatment
103670	directeur(-trice) - production de l  eau potable	director - drinking water production
103700	ombudsman	ombudsman
103710	president(e) - office de consultation publique de montreal	President - Montreal Public Consultation Office
103750	verificateur(-trice) general(e)	general auditor
103980	directeur(-trice) de service - finances et tresorier	department director - finance and treasurer
104170	directeur(-trice) de service - culture	department director - culture
104190	directeur(-trice) - projets d amenagement urbain	director - urban development projects
104210	directeur(-trice) de service - grands parcs, verdissement et mont-royal	Service Director - Large Parks, Greening and Mount Royal
104310	directeur(-trice)-bibliotheques	library director
104320	directeur de projets	project manager
104330	directeur(-trice) de service - habitation	service manager - housing
104500	directeur(-trice) de service - ressources humaines	department manager - human resources
104540	directeur(-trice)-adjoint(e)-sécurité incendie	deputy director of fire safety
104570	directeur(-trice) des reseaux d eau	water network director
104710	assistant(e)-directeur(-trice) - sim	assistant director - sim
104890	directeur(-trice) d arrondissement adjoint(e) et responsable de l administration v-marie	Deputy District Director and Head of Administration v-marie
105020	directeur(-trice)-culture, loisirs et des batiments (st-leonard)	Director of Culture, Leisure and Buildings (St-Leonard)
105040	directeur(-trice) travaux publics ville-marie	director of public works, Ville-Marie
105050	directeur(-trice) aménagement urbain serv.entr. ville-marie	Director of Urban Planning, Ville-Marie Entr. Service
105080	directeur(-trice) - rel. avec les citoyens, greffe et services administratifs	Director - Citizen Relations, Registry and Administrative Services
105090	directeur(-trice)-travaux publics amenagement urbain (arr.)	director of public works and urban planning (district)
105160	directeur(-trice) - infrastructures	director - infrastructure
105200	directeur(-trice)-budget,planification financiere et fiscale	budget director, financial and tax planning
105290	directeur(-trice) de service - diversite et inclusion sociale	Director of Service - Diversity and Social Inclusion
105330	dir adjoint et responsable administration espace vie	Deputy Director and Head of Administration for Living Space
105350	directeur(trice)planification et communications	director of planning and communications
105410	verificateur(-trice) général(e) adjoint(e)	Deputy Auditor General
105440	directeur(-trice) de service - affaires juridiques et avocat(e) en chef	Service Director - Legal Affairs and Chief Counsel
105450	directeur(-trice) de service-technologies de l information	information technology service manager
105460	directeur des affaires institutionnelles	Director of Institutional Affairs
105480	controleur(-euse) general(e)	general controller
105500	directeur(-trice)-developpement du territoire et etudes techniques	Director of Territorial Development and Technical Studies
105520	directeur(-trice)-cinema, festivals et evenements	director - cinema, festivals and events
105530	directeur(-trice) arrondissement (ii)	district director (ii)
105540	directeur(-trice) - travaux publics (ii)	director - public works (ii)
105550	directeur(-trice)-cult.sl.ds.(ile bizard-outremont)	director-cult.sl.ds.(ile bizard-outremont)
105560	directeur(-trice)-amenag urb serv entr (ile biz/outremont))	Director - Urban Serv Entr (Ile Biz/Outremont)
105570	directeur(-trice) tp ing et amenag urbain (ile bizard)	Director of TP Engineering and Urban Planning (Ile Bizard)
105610	directeur(-trice)  - poursuites penales et criminelles	Director - Criminal and Penal Prosecutions
105630	dir. associé portefeuille de projets d envergure	associate director of large-scale project portfolio
105670	directeur(-trice) - rel.travail negociateur(-trice) en chef	director - labor relations chief negotiator
105690	directeur(-trice)  - sante, securite et mieux-etre	Director - Health, Safety and Wellness
105720	directeur-gest durable eau et soutien à l exploitation	Director of Sustainable Water Management and Operational Support
105740	directeur(-trice) de service - infrastructures du reseau routier et transports	Service Director - Road Network Infrastructure and Transport
105750	directeur(-trice) de service - urbanisme et mobilité	department director - urban planning and mobility
105770	dir. principal affaires institutionnelles	Principal Director of Institutional Affairs
105790	directeur(-trice) adjoint(e) au(a la) directeur(-trice) general(e)	deputy director to the general director
105800	directeur(-trice) - affaires civiles et avocat(e) en chef adjoint(e)	Director - Civil Affairs and Deputy Chief Counsel
105810	directeur(-trice) de service - concertation des arrondissements et experience citoyenne	service director - district consultation and citizen experience
105820	directeur(-trice)  - planification et mise en valeur du territoire	Director - Planning and Territorial Development
105840	directeur(-trice) des revenus	revenue director
105850	directeur(-trice)-conseil et soutien financiers	financial advisory and support director
105860	directeur(-trice)-comptabilite et informations financieres	director of accounting and financial information
105870	directeur(-trice) general(e) - bureau du taxi de montreal	General Manager - Montreal Taxi Office
105890	directeur(-trice) de service-performance organisationnelle	organizational performance service director
105900	directeur(-trice) de service - developpement economique	department director - economic development
105910	inspecteur(-trice) general(e) de la ville de montreal	Inspector General of the City of Montreal
105920	directeur(-trice) generale(e) adjoint(e)	deputy general manager
105940	directeur(-trice)-laboratoire d innovation urbaine	director of the urban innovation laboratory
105960	directeur(-trice) de service - gestion et planification immobiliere	service manager - real estate management and planning
105970	directeur(-trice)-bureau des relations internationales	Director of the International Relations Office
105980	directeur(-trice)-bureau de l experience client	Director of Customer Experience Office
105990	directeur(-trice) - bureau des relations gouvernementales et municipales	Director - Office of Government and Municipal Relations
106000	directeur(-trice) - developpement du territoire et travaux publics	Director - Territorial Development and Public Works
106010	directeur(-trice)-bureau de projets d immobilisations	director-capital projects office
106030	directeur(-trice) du planetarium	director of the planetarium
106040	directeur(-trice)-jardin botanique	director of the botanical garden
106050	directeur(-trice) du biodome	director of the biodome
106060	directeur(-trice) de l insectarium	director of the insectarium
106070	directeur(-trice)-partenaires affaires ressources humaines	director-human resources business partners
106080	directeur(-trice) bureau de projets ti	IT project office director
106090	directeur(-trice) solutions d affaires	business solutions director
106100	directeur(-trice)-solutions numeriques - web	director of digital solutions - web
106110	directeur(-trice) - centre d expertise - plateformes et infrastructures	director - center of expertise - platforms and infrastructures
106120	directeur(-trice)-centre d expertise-espace de travail	director-center of expertise-workspace
106130	directeur(-trice) centre d expertise-intelligence affairesres	director of the business intelligence expertise center
106150	directeur(-trice) - exploitation   experience client	Director - Customer Experience Operations
106170	directeur(-trice) - centre de prevention a la radicalisation menant a la violence	Director - Center for the Prevention of Radicalization Leading to Violence
106180	directeur(-trice) - gestion immobiliere et exploitation des batiments	director - property management and building operations
106190	directeur(-trice) - planification immobiliere	director - real estate planning
106200	directeur(-trice) - gestion des projets - developpement et maintien d actifs immobiliers	director - project management - development and maintenance of real estate assets
106230	directeur(-trice) - transactions immobilieres	director - real estate transactions
106240	directeur(-trice) - entrepreneuriat	director - entrepreneurship
106250	directeur(-trice) - investissement et developpement strategique	Director - Investment and Strategic Development
106260	directeur(-trice) - gestion des actifs immobiliers	director - real estate asset management
106280	directeur(-trice)-bureau d integration des nouveaux arrivants	Director of the Newcomer Integration Office
106290	directeur(-trice)-partenaires d affaires en communication	director-business partners in communications
106300	directeur(-trice)-image de marque et strategies numeriques	Director of Brand Image and Digital Strategies
106310	directeur(-trice) - strategie d operations d entretien de lavoie publique	director - public highway maintenance operations strategy
106320	directeur(-trice) transition ecologique et resilience	Director of Ecological Transition and Resilience
106330	inspecteur(-trice) general(e) adjoint(e)	deputy inspector general
106340	directeur(-trice) - sports et activite physique	director - sports and physical activity
106350	directeur(-trice) - ateliers mecaniques	director - mechanical workshops
106360	directeur(-trice) - ateliers specialises	director - specialized workshops
106370	directeur(-trice) - communications spvm	Director - SPVM Communications
106380	directeur(-trice) gestion matieres residuelles infras	director of infrastructure residual materials management
106390	directeur(-trice)-developpement culturel	director of cultural development
